,Id.,Material,Densidad,Módulo de Young,Factor de pérdidas,Módulo Poisson
0,1,Acero,7700,195000000000.0,0.0001,0.3
1,2,Aluminio,2700,71000000000.0,0.001,0.15
2,3,Bronce,8500,95000000000.0,0.01,0.35
3,4,Cobre,8915,127000000000.0,0.01,0.34
4,5,Contrachapado,600,8300000000.0,0.05,0.0
5,6,Hierro,7700,195000000000.00003,0.0001,0.15
6,7,Hormigón,2400,30000000000.0,0.05,0.2
7,8,Hormigón ladrillo,900,4800000000.0,0.05,0.12
8,9,Ladrillo,2100,25000000000.0,0.01,0.15
9,10,Madera,650,12000000000.0,0.01,0.15
10,11,Neopreno,1200,100000000.0,0.1,0.49
11,12,Plomo,11300,17000000000.000002,0.0005,0.15
12,13,Vidrio,2500,68000000000.0,0.02,0.23
13,14,PYL,800,2000000000.0,0.006,0.24
